2025-10-18 00:26:52.613 [http-nio-8901-exec-7] INFO  c.z.f.b.context.filter.HeaderUserId2ContextFilter - ## HeaderUserId2ContextFilter, 用户 ID: 100
2025-10-18 00:26:52.694 [http-nio-8901-exec-7] INFO  c.z.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求开始: [关注用户], 入参: {"followUserId":105}, 请求类: RelationController, 请求方法: follow =================================== 
2025-10-18 00:26:52.711 [http-nio-8901-exec-7] INFO  c.z.f.b.c.interceptor.FeignRequestInterceptor - ==> feign请求设置请求头 userId: 100
2025-10-18 00:26:52.871 [http-nio-8901-exec-7] WARN  c.z.x.u.r.biz.exception.GlobalExceptionHandler - /relation/follow request fail, errorCode: RELATION-20004, errorMessage: 您已经关注了该用户
2025-10-18 00:26:52.881 [http-nio-8901-exec-7] INFO  c.z.f.b.context.filter.HeaderUserId2ContextFilter - ===== 删除 ThreadLocal， userId: 100
2025-10-18 00:26:57.659 [http-nio-8901-exec-8] INFO  c.z.f.b.context.filter.HeaderUserId2ContextFilter - ## HeaderUserId2ContextFilter, 用户 ID: 100
2025-10-18 00:26:57.665 [http-nio-8901-exec-8] INFO  c.z.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求开始: [判断是否关注某用户], 入参: {"followUserId":105}, 请求类: RelationController, 请求方法: isFollowed =================================== 
2025-10-18 00:26:57.668 [http-nio-8901-exec-8] INFO  c.z.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求结束: [判断是否关注某用户], 耗时: 3ms, 出参: {"success":true,"message":null,"errorCode":null,"data":true} =================================== 
2025-10-18 00:26:57.670 [http-nio-8901-exec-8] INFO  c.z.f.b.context.filter.HeaderUserId2ContextFilter - ===== 删除 ThreadLocal， userId: 100
2025-10-18 00:26:57.685 [http-nio-8901-exec-9] INFO  c.z.f.b.context.filter.HeaderUserId2ContextFilter - ## HeaderUserId2ContextFilter, 用户 ID: 100
2025-10-18 00:26:57.686 [http-nio-8901-exec-9] INFO  c.z.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求开始: [判断是否关注某用户], 入参: {"followUserId":105}, 请求类: RelationController, 请求方法: isFollowed =================================== 
